time,t_hts_1 (degC),t_hts_2 (degC),t_hts_3 (degC),t_hts_4 (degC),t_lts_1 (degC),t_lts_0 (degC),t_fpsc (degC),t_vtsc (degC),t_amb (degC),v_ppsc (perc),v_pssc (perc),b_ac (perc),i_g (W/m2)
2020-05-27 00:00:04+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.8,12.2,0,0,0,0.866667
2020-05-27 00:00:09+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.8,12.2,0,0,0,0.866667
2020-05-27 00:00:14+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.8,12.2,0,0,0,0.866667
2020-05-27 00:00:19+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.866667
2020-05-27 00:00:24+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.866667
2020-05-27 00:00:29+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 00:00:34+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 00:00:39+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.866667
2020-05-27 00:00:44+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 00:00:49+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 00:00:54+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 00:00:59+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 00:01:04+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 00:01:09+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 00:01:14+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 00:01:19+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 00:01:24+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 00:01:29+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.816667
2020-05-27 00:01:34+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.816667
2020-05-27 00:01:39+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 00:01:44+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 00:01:49+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 00:01:54+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 00:01:59+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 00:02:04+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 00:02:09+00:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
