time,t_hts_1 (degC),t_hts_2 (degC),t_hts_3 (degC),t_hts_4 (degC),t_lts_1 (degC),t_lts_0 (degC),t_fpsc (degC),t_vtsc (degC),t_amb (degC),v_ppsc (perc),v_pssc (perc),b_ac (perc),i_g (W/m2)
2020-05-27 02:00:04+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.8,12.2,0,0,0,0.866667
2020-05-27 02:00:09+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.8,12.2,0,0,0,0.866667
2020-05-27 02:00:14+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.8,12.2,0,0,0,0.866667
2020-05-27 02:00:19+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.866667
2020-05-27 02:00:24+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.866667
2020-05-27 02:00:29+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 02:00:34+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 02:00:39+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.866667
2020-05-27 02:00:44+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 02:00:49+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 02:00:54+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 02:00:59+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.808333
2020-05-27 02:01:04+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 02:01:09+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 02:01:14+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 02:01:19+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 02:01:24+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 02:01:29+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.816667
2020-05-27 02:01:34+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.816667
2020-05-27 02:01:39+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.758333
2020-05-27 02:01:44+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:01:49+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:01:54+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:01:59+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:02:04+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:02:09+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:02:14+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:02:19+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:02:24+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.641667
2020-05-27 02:02:29+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.1,0,0,0,0.583333
2020-05-27 02:02:34+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.583333
2020-05-27 02:02:39+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.583333
2020-05-27 02:02:44+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.641667
2020-05-27 02:02:49+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.1,0,0,0,0.641667
2020-05-27 02:02:54+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.641667
2020-05-27 02:02:59+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.583333
2020-05-27 02:03:04+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.583333
2020-05-27 02:03:09+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.583333
2020-05-27 02:03:14+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.641667
2020-05-27 02:03:19+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.641667
2020-05-27 02:03:24+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:03:29+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:03:34+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.2,0,0,0,0.7
2020-05-27 02:03:39+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.7,12.2,0,0,0,0.7
2020-05-27 02:03:44+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.1,0,0,0,0.7
2020-05-27 02:03:49+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.2,0,0,0,0.7
2020-05-27 02:03:54+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.2,0,0,0,0.758333
2020-05-27 02:03:59+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.2,0,0,0,0.816667
2020-05-27 02:04:04+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.1,0,0,0,0.816667
2020-05-27 02:04:09+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.1,17.6,12.1,0,0,0,0.816667
2020-05-27 02:04:14+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.758333
2020-05-27 02:04:19+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.2,0,0,0,0.816667
2020-05-27 02:04:24+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.816667
2020-05-27 02:04:29+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.758333
2020-05-27 02:04:34+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.2,0,0,0,0.758333
2020-05-27 02:04:39+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.816667
2020-05-27 02:04:44+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.816667
2020-05-27 02:04:49+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.816667
2020-05-27 02:04:54+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.758333
2020-05-27 02:04:59+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.7
2020-05-27 02:05:04+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.7
2020-05-27 02:05:09+02:00,50.6,48.1,47.5,46.3,20.5,21.8,9.0,17.6,12.1,0,0,0,0.7
