time,t_hts_1 (degC),t_hts_2 (degC),t_hts_3 (degC),t_hts_4 (degC),t_lts_1 (degC),t_lts_0 (degC),t_fpsc (degC),t_vtsc (degC),t_amb (degC),v_ppsc (perc),v_pssc (perc),b_ac (perc),i_g (W/m2)
2020-05-27 12:30:02+02:00,81.7,72.8,70.9,46.6,15.6,16.3,94.6,93.4,26.4,100,100,1,985.375
2020-05-27 12:30:07+02:00,81.7,72.9,70.9,46.6,15.6,16.4,94.8,93.3,26.5,100,100,1,983.7
2020-05-27 12:30:12+02:00,81.8,73.0,70.8,46.6,15.6,16.4,94.9,93.2,26.5,100,100,1,982.7330000000001
2020-05-27 12:30:17+02:00,81.8,73.0,70.8,46.6,15.6,16.4,95.0,93.1,26.5,100,100,1,982.0419999999999
2020-05-27 12:30:22+02:00,81.8,73.0,70.8,46.6,15.6,16.4,95.1,93.0,26.6,100,100,1,981.425
2020-05-27 12:30:27+02:00,81.8,73.0,70.8,46.6,15.6,16.4,95.2,92.9,26.4,100,100,1,982.217
2020-05-27 12:30:32+02:00,81.9,73.0,70.9,46.6,15.6,16.4,95.3,92.8,26.5,100,100,1,982.75
2020-05-27 12:30:37+02:00,81.9,73.0,70.8,46.6,15.6,16.4,95.4,92.7,26.5,100,100,1,982.883
2020-05-27 12:30:42+02:00,81.9,73.0,70.8,46.6,15.6,16.4,95.5,92.6,26.5,100,100,1,982.8580000000001
2020-05-27 12:30:47+02:00,82.0,73.1,70.7,46.6,15.5,16.4,95.6,92.5,26.5,100,100,1,983.692
2020-05-27 12:30:52+02:00,82.0,73.1,70.8,46.6,15.5,16.3,95.7,92.4,26.5,100,100,1,984.25
2020-05-27 12:30:57+02:00,82.0,73.2,71.0,46.6,15.5,16.3,95.8,92.3,26.6,100,100,1,985.192
2020-05-27 12:31:02+02:00,82.0,73.3,70.9,46.6,15.5,16.3,95.8,92.2,26.6,100,100,1,986.058
2020-05-27 12:31:07+02:00,82.1,73.4,70.8,46.6,15.5,16.3,95.9,92.1,26.6,100,100,1,987.5830000000001
2020-05-27 12:31:12+02:00,82.1,73.4,70.8,46.6,15.5,16.3,96.0,92.0,26.6,100,100,1,989.225
2020-05-27 12:31:17+02:00,82.1,73.5,70.8,46.6,15.5,16.3,96.1,91.9,26.6,100,100,1,990.5169999999999
