time,t_hts_1,t_hts_2,t_hts_3,t_hts_4,t_lts_1,t_lts_0,t_fpsc,t_vtsc,t_amb,v_ppsc,v_pssc,b_ac,i_g
2020-05-27 17:25:03+02:00,86.3,83.4,83.2,82.1,16.0,16.4,84.5,87.1,29.5,100,80,1,580.217
2020-05-27 17:25:08+02:00,86.3,83.4,83.2,82.0,16.0,16.4,84.5,87.1,29.4,100,80,1,579.5169999999999
2020-05-27 17:25:13+02:00,86.3,83.3,83.2,82.0,16.0,16.4,84.5,87.1,29.1,100,80,1,579.217
2020-05-27 17:25:18+02:00,86.3,83.3,83.2,81.9,16.0,16.4,84.5,87.1,29.4,100,80,1,578.683
2020-05-27 17:25:23+02:00,86.3,83.2,83.2,81.9,16.0,16.4,84.5,87.1,29.7,100,80,1,578.275
2020-05-27 17:25:28+02:00,86.3,83.2,83.1,81.8,16.0,16.4,84.5,87.1,29.7,100,80,1,577.992
2020-05-27 17:25:33+02:00,86.3,83.2,83.1,81.8,16.0,16.4,84.4,87.0,30.1,100,80,1,577.742
2020-05-27 17:25:38+02:00,86.2,83.2,83.1,81.9,15.9,16.5,84.5,87.0,30.4,100,80,1,577.75
2020-05-27 17:25:43+02:00,86.2,83.2,83.1,81.9,15.9,16.5,84.4,87.0,30.6,100,80,1,577.508
2020-05-27 17:25:48+02:00,86.2,83.2,83.1,81.9,15.9,16.5,84.4,87.0,30.9,100,80,1,577.425
2020-05-27 17:25:53+02:00,86.2,83.2,83.1,82.0,16.0,16.5,84.4,87.0,30.6,100,80,1,577.383
2020-05-27 17:25:58+02:00,86.2,83.1,83.1,82.0,16.0,16.5,84.4,87.0,30.1,100,80,1,577.1419999999999
2020-05-27 17:26:03+02:00,86.2,83.1,83.1,82.0,16.0,16.5,84.4,86.9,30.2,100,80,1,577.217
2020-05-27 17:26:08+02:00,86.2,83.1,83.1,82.0,16.0,16.4,84.4,87.0,30.2,100,80,1,577.025
2020-05-27 17:26:13+02:00,86.2,83.1,83.1,82.0,16.0,16.4,84.4,86.9,30.0,100,80,1,576.742
2020-05-27 17:26:18+02:00,86.2,83.1,83.1,82.0,16.0,16.4,84.4,86.9,30.1,100,80,1,576.5830000000001
2020-05-27 17:26:23+02:00,86.1,83.2,83.1,82.0,15.9,16.4,84.4,86.9,29.9,100,80,1,576.125
2020-05-27 17:26:28+02:00,86.1,83.2,83.1,81.9,15.9,16.5,84.4,86.9,30.2,100,80,1,575.683
2020-05-27 17:26:33+02:00,86.1,83.2,83.1,82.0,15.9,16.5,84.4,86.8,29.9,100,80,1,575.117
2020-05-27 17:26:38+02:00,86.1,83.2,83.1,82.0,15.9,16.5,84.3,86.8,29.8,100,80,1,574.633
2020-05-27 17:26:43+02:00,86.1,83.2,83.1,82.0,15.9,16.5,84.3,86.8,29.7,100,80,1,574.275
2020-05-27 17:26:48+02:00,86.1,83.2,83.1,82.0,15.9,16.4,84.3,86.8,30.1,100,80,1,573.717
2020-05-27 17:26:53+02:00,86.1,83.2,83.1,82.1,15.9,16.4,84.3,86.7,29.9,100,80,1,573.033
2020-05-27 17:26:58+02:00,86.1,83.2,83.1,82.1,15.9,16.4,84.3,86.7,29.9,100,80,1,572.55
2020-05-27 17:27:03+02:00,86.1,83.2,83.1,82.2,15.9,16.4,84.3,86.7,29.4,100,80,1,571.867
2020-05-27 17:27:08+02:00,86.1,83.2,83.2,82.2,15.9,16.4,84.3,86.7,29.4,100,80,1,571.425
2020-05-27 17:27:13+02:00,86.0,83.2,83.2,82.2,15.9,16.3,84.3,86.7,29.7,100,80,1,570.883
2020-05-27 17:27:18+02:00,86.0,83.2,83.2,82.2,15.9,16.3,84.3,86.6,29.4,100,80,1,570.442
2020-05-27 17:27:23+02:00,86.0,83.2,83.2,82.2,15.9,16.3,84.3,86.7,29.7,100,80,1,570.3
2020-05-27 17:27:28+02:00,86.0,83.3,83.2,82.2,16.0,16.3,84.2,86.6,29.4,100,80,1,569.842
2020-05-27 17:27:33+02:00,86.0,83.3,83.2,82.1,16.0,16.4,84.3,86.6,29.4,100,80,1,569.725
2020-05-27 17:27:38+02:00,86.0,83.3,83.2,82.2,16.0,16.4,84.2,86.6,29.6,100,80,1,569.308
2020-05-27 17:27:43+02:00,86.0,83.3,83.2,82.2,16.0,16.4,84.2,86.6,29.7,100,80,1,569.2080000000001
2020-05-27 17:27:48+02:00,86.0,83.4,83.2,82.2,15.9,16.4,84.2,86.6,29.4,100,80,1,568.875
2020-05-27 17:27:53+02:00,86.0,83.4,83.2,82.2,15.9,16.4,84.2,86.5,29.5,100,80,1,568.85
2020-05-27 17:27:58+02:00,86.0,83.4,83.2,82.2,15.9,16.4,84.2,86.6,29.1,100,80,1,568.6
2020-05-27 17:28:03+02:00,86.0,83.4,83.2,82.3,15.9,16.4,84.2,86.5,29.5,100,80,1,568.35
2020-05-27 17:28:08+02:00,86.0,83.4,83.2,82.3,15.9,16.4,84.2,86.5,29.6,100,80,1,568.175
2020-05-27 17:28:13+02:00,86.0,83.5,83.2,82.3,15.9,16.4,84.2,86.5,29.6,100,80,1,568.217
2020-05-27 17:28:18+02:00,85.9,83.5,83.2,82.3,15.9,16.4,84.2,86.5,29.5,100,80,1,568.158
2020-05-27 17:28:23+02:00,85.9,83.5,83.3,82.3,16.0,16.5,84.2,86.5,29.2,100,80,1,568.025
2020-05-27 17:28:28+02:00,85.9,83.5,83.3,82.3,16.0,16.5,84.2,86.5,29.0,100,80,1,567.808
2020-05-27 17:28:33+02:00,85.9,83.5,83.3,82.3,16.0,16.5,84.2,86.5,28.9,100,80,1,567.75
2020-05-27 17:28:38+02:00,85.9,83.5,83.3,82.3,16.0,16.5,84.2,86.5,29.3,100,80,1,567.742
2020-05-27 17:28:43+02:00,85.9,83.5,83.3,82.3,16.0,16.6,84.2,86.4,29.0,100,80,1,567.5419999999999
